1,0,9.49,8.73,5.39,-146.57,0
2,1,7.11,9.93,-5.42,-142.44,0
3,2,6.26,8.800000000000001,-0.59,-137.47,0
4,3,9.16,10.77,-4.42,-141.26,0
5,4,9.119999999999999,6,-23.78,-143.59,0
6,5,10.27,11.51,-16.38,-140.08,0
7,6,7.74,7.54,-19.57,-144.85,0
8,7,2.19,7.79,-34.52,-142.42,0
9,8,4.13,11.55,-38.46,-135.06,0
10,9,9.43,7.24,-42.98,-139.75,0
11,10,7.32,10.54,-34.85,-130.73,0
12,11,6.67,10.07,-52.34,-136.52,0
13,12,4.91,10.53,-30.32,-133.59,0
14,13,7.89,8.279999999999999,-34.26,-139.17,0
15,14,5.67,6.16,-48.48,-144.9,0
16,15,11.12,12.61,-33.14,-130.84,0
17,16,7.61,10.14,-28.35,-129.66,0
18,17,5.75,9.81,-28.33,-138.92,0
19,18,5.83,11.45,-27.19,-135.93,0
20,19,5.78,10.2,-21.12,-136.98,0
21,20,6.97,5.81,-13.93,-142.94,0
22,21,7.37,7.5,-16.62,-136.07,0
23,22,8.51,12.28,-4.74,-129.51,0
24,23,9.41,7.57,5.12,-121.76,0
25,24,3.61,9.300000000000001,-9.859999999999999,-131.45,0
26,25,6.75,8.91,-2.86,-126.48,0
27,26,6.71,8.27,-1.03,-130.1,0
28,27,9.119999999999999,12.83,-14.96,-142.79,0
29,28,5.85,13.61,-12.9,-141.68,0
30,29,7.35,9.289999999999999,-15.15,-141.76,0
31,30,4.3,14.14,-19.63,-147.99,0
32,31,9.77,12.54,-40.98,-160.87,0
33,32,8.41,6.94,-29.08,-154.96,0
34,33,5,11.09,-34.36,-159.11,0
35,34,8.529999999999999,13.5,-54.01,-164.59,0
36,35,8.73,9.06,-51.19,-160.03,0
37,36,6.38,8.970000000000001,-43.51,-162.78,0
38,37,10.57,13.23,-51.57,-171.31,0
39,38,8.07,7.06,-52.97,-171.45,0
40,39,8.1,10.34,-45.4,-168.49,0
41,40,6.14,13.75,-42.53,-166.55,0
42,41,5.58,7.36,-48.18,-175.49,0
43,42,5.58,8.220000000000001,-34.06,-166.87,0
44,43,4.62,7.82,-24.34,-163.46,0
45,44,8.08,7.2,-23.59,-159.9,0
46,45,9.09,9.279999999999999,-14.93,-152.75,0
47,46,9.56,14.17,-1.47,-155.14,0
48,47,7.44,7.95,-1.14,-158.07,0
49,48,5.64,7.68,-2.62,-150,0
50,49,5.53,11.86,4.75,-162.54,0
51,50,7.99,9.789999999999999,6.73,-155.07,0
52,51,11.21,11.59,-0.72,-153.93,0
53,52,9.289999999999999,14.3,12.89,-149.76,0
54,53,9.550000000000001,9.109999999999999,17.25,-146.29,0
55,54,5.25,8.48,16.3,-152.16,0
56,55,6.23,6.77,14.45,-150.02,0
57,56,1.52,9,23.83,-148.35,0
